uid,lot_title,lot_url,full_cost,avg_resell_price,net_profit,percentage_profit
238,Dualit Duel Speed Milk Frother Black. Box damaged,https://www.i-bidder.com/en-gb/auction-catalogues/vfauctions/catalogue-id-vf-auc10234/lot-1170aeb0-8a3f-448b-ba42-af6201616a3a,22.2,74.3,39.69199999999999,178.79279279279277
116,"JBL Harman G0 2 Bluetooth Speaker, Blue",https://www.i-bidder.com/en-gb/auction-catalogues/vfauctions/catalogue-id-vf-auc10234/lot-20420a66-40f1-48f0-b005-af620160de1c,22.2,61.94,27.331999999999994,123.1171171171171
237,Corelle Dinnerware Black White Mix & Match 10 3/4 Inch Serving bowls,https://www.i-bidder.com/en-gb/auction-catalogues/vfauctions/catalogue-id-vf-auc10234/lot-3626c2f9-0241-4744-9298-af6201616913,22.2,65.7,31.092,140.05405405405403
123,"TIMMKOO MP3 Player with Bluetooth, 4.0"" Full Touch Screen MP4 MP3 Player with Speaker, 2GB, Black",https://www.i-bidder.com/en-gb/auction-catalogues/vfauctions/catalogue-id-vf-auc10234/lot-4a39b861-0f52-4eb2-af76-af620160e5cc,22.2,39.14,4.532000000000002,20.414414414414424
131,"Korbond Colour Sewing Thread Set, Pack of 30",https://www.i-bidder.com/en-gb/auction-catalogues/vfauctions/catalogue-id-vf-auc10234/lot-3f94555a-e5f0-4435-8c0d-af620160eec1,22.2,6.19,-28.418,-128.009009009009
132,"Ten Infila Automatic Needle Threader for Hand Needles, Purple",https://www.i-bidder.com/en-gb/auction-catalogues/vfauctions/catalogue-id-vf-auc10234/lot-ab932bfd-13f9-4afb-af95-af620160efe8,22.2,7.42,-27.188,-122.46846846846846
134,"Three Desenio Frames, 30 x 40 cm, White",https://www.i-bidder.com/en-gb/auction-catalogues/vfauctions/catalogue-id-vf-auc10234/lot-44332a9b-5489-4f70-9b63-af620160f245,22.2,5.48,-29.128,-131.20720720720723
136,"Twenty-five Balls of Scheepjes Chunky Monkey Yarn, 1029 Rust",https://www.i-bidder.com/en-gb/auction-catalogues/vfauctions/catalogue-id-vf-auc10234/lot-9ea9a5ef-d05d-4df1-b771-af620160f4da,22.2,17.52,-17.088,-76.97297297297297
138,"Twenty-five Balls of Scheepjes Chunky Monkey Yarn, Peach",https://www.i-bidder.com/en-gb/auction-catalogues/vfauctions/catalogue-id-vf-auc10234/lot-6e09d2fd-af87-4a89-93da-af620160f744,22.2,7.69,-26.918,-121.25225225225225
139,Two Packs of Ten Scheepjes Stone Washed Yarn to include 1x Smokey Quartz 50g and 1x Black Onyx 50g,https://www.i-bidder.com/en-gb/auction-catalogues/vfauctions/catalogue-id-vf-auc10234/lot-f4f008b2-0f41-4d5b-92d8-af620160f85e,22.2,9.61,-24.997999999999998,-112.6036036036036
142,MB Sprinter Horse Transporter with Horse,https://www.i-bidder.com/en-gb/auction-catalogues/vfauctions/catalogue-id-vf-auc10234/lot-d8526a16-25f3-45a5-9d40-af620160fbf5,22.2,68.11,33.501999999999995,150.90990990990989
244,Four iDesign Axis Metal Hook Hangers for Bags,https://www.i-bidder.com/en-gb/auction-catalogues/vfauctions/catalogue-id-vf-auc10234/lot-8912272a-f550-42c3-8c55-af6201617126,22.2,7.88,-26.728,-120.39639639639641
